,occorrenze,len
e,230,1
che,215,3
a,157,1
di,137,2
non,113,3
la,101,2
per,97,3
un,95,2
in,87,2
il,79,2
l,70,1
è,64,1
si,59,2
una,51,3
ma,48,2
le,47,2
più,47,3
se,46,2
come,43,4
i,42,1
con,39,3
quel,38,4
d,37,1
era,37,3
ci,36,2
poi,35,3
ho,34,2
io,34,2
gli,31,3
renzo,30,5
anche,30,5
da,30,2
del,29,3
lo,29,2
ora,26,3
altro,25,5
don,25,3
cosa,24,4
loro,24,4
ha,23,2
disse,23,5
abbondio,21,8
questo,21,6
aveva,21,5
ne,21,2
lui,21,3
due,20,3
questa,20,6
perché,20,6
cose,20,4
far,19,3
bene,19,4
gran,19,4
proprio,18,7
qui,18,3
dire,18,4
de,17,2
c,17,1
così,17,4
sua,17,3
tutto,17,5
uno,16,3
chi,16,3
mi,16,2
prima,16,5
già,16,3
vi,16,2
alla,16,4
fu,16,2
n,15,1
son,15,3
della,15,5
quando,15,6
sempre,15,6
agnese,15,6
fare,15,4
po,15,2
lei,15,3
dove,14,4
quella,14,6
altra,14,5
lucia,14,5
uomo,14,4
suo,13,3
sono,13,4
meglio,13,6
s,13,1
poco,13,4
fatto,13,5
tempo,12,5
no,12,2
delle,12,5
altre,12,5
gente,12,5
senza,11,5
al,11,2
tutti,11,5
dell,11,4
qualche,11,7
lì,11,2
tanto,10,5
dico,10,4
stato,10,5
dopo,10,4
so,10,2
altri,10,5
voi,10,3
quelle,9,6
ché,9,3
volta,9,5
marchese,9,8
detto,9,5
sapete,9,6
me,9,2
paese,9,5
nel,9,3
latino,9,6
quello,8,6
que,8,3
male,8,4
col,8,3
ancora,8,6
voglio,8,6
ogni,8,4
forse,8,5
sarebbe,8,7
subito,8,6
fece,8,4
esser,8,5
v,8,1
peste,8,5
signor,8,6
vuol,8,4
può,7,3
ce,7,2
buona,7,5
ben,7,3
quest,7,5
giovine,7,7
andare,7,6
imparato,7,8
guai,7,4
bella,7,5
giorno,7,6
furon,7,5
parte,7,5
fosse,7,5
sul,7,3
fin,7,3
dato,7,4
dice,7,4
vossignoria,7,11
eminenza,7,8
dir,7,3
vedete,7,6
tra,7,3
o,7,1
nulla,7,5
casa,6,4
troppo,6,6
diceva,6,6
maniera,6,7
noi,6,3
quale,6,5
mai,6,3
quasi,6,5
quell,6,5
cui,6,3
sia,6,3
ch,6,2
quelli,6,6
all,6,3
sé,6,2
parlo,6,5
addosso,6,7
hanno,6,5
signore,6,7
vedova,6,6
donne,5,5
giacché,5,7
molto,5,5
ai,5,2
mondo,5,5
povero,5,6
sta,5,3
su,5,2
essere,5,6
via,5,3
insieme,5,7
fa,5,2
verità,5,6
finalmente,5,10
stata,5,5
quanto,5,6
venne,5,5
qualcosa,5,8
tutta,5,5
vita,5,4
compagnia,5,9
allora,5,6
andò,5,4
cattura,5,7
là,5,2
certi,5,5
m,5,1
meno,5,4
volete,5,6
ad,5,2
anch,5,4
alle,5,4
queste,5,6
avete,5,5
potrebbe,5,8
bisogna,5,7
sarà,5,4
sopra,5,5
milano,5,6
mezzo,5,5
sa,5,2
tre,5,3
veduto,5,6
sì,5,2
momento,4,7
lungo,4,5
avesse,4,6
forza,4,5
basta,4,5
dar,4,3
li,4,2
dal,4,3
parlare,4,7
doveva,4,6
andava,4,6
chiesa,4,6
volle,4,5
questi,4,6
volentieri,4,10
cuore,4,5
avevan,4,6
solo,4,4
parola,4,6
poteva,4,6
bocca,4,5
appunto,4,7
eh,4,2
mente,4,5
abbiam,4,6
venuto,4,6
nella,4,5
siamo,4,5
nessuno,4,7
illustrissima,4,13
discorso,4,8
domenica,4,8
veda,4,4
sicuro,4,6
vedere,4,6
né,4,2
eran,4,4
pensato,4,7
vedo,4,4
pensare,4,7
voleva,4,6
faceva,4,6
stare,4,5
rodrigo,4,7
intanto,4,7
però,4,4
star,4,4
sentir,4,6
sola,4,4
sentire,4,7
voglia,4,6
cos,3,3
zitto,3,5
grand,3,5
avere,3,5
giorni,3,6
parole,3,6
rispose,3,7
tali,3,4
altrove,3,7
fuori,3,5
solamente,3,9
nuovo,3,5
giovani,3,7
contro,3,6
signora,3,7
vero,3,4
desinare,3,8
dunque,3,6
dà,3,2
discorsi,3,8
sicché,3,6
dirò,3,4
sperare,3,7
direbbe,3,7
arrivato,3,8
dio,3,3
servizio,3,8
sposa,3,5
sposi,3,5
sproposito,3,10
vuole,3,5
affatto,3,7
sapere,3,6
pezzo,3,5
paura,3,5
storia,3,6
secondo,3,7
passato,3,7
festa,3,5
curati,3,6
cura,3,4
passata,3,7
fine,3,4
sue,3,3
fino,3,4
crediate,3,8
occhi,3,5
figliuoli,3,9
viso,3,4
cardinali,3,9
appena,3,6
primo,3,5
ve,3,2
miei,3,4
bisogno,3,7
mettersi,3,8
nome,3,4
andarono,3,8
povera,3,6
notizia,3,7
certo,3,5
possa,3,5
certa,3,5
nostro,3,6
andato,3,6
lontani,3,7
anzi,3,4
pareva,3,6
buon,3,4
buone,3,5
trovato,3,7
trovava,3,7
pare,3,4
andiamo,3,7
prova,3,5
tu,3,2
papa,3,4
cardinale,3,9
anni,3,4
tutt,3,4
pochino,3,7
capo,3,4
vengono,3,7
resto,3,5
cominciò,3,8
amico,3,5
vede,3,4
apposta,3,7
vece,3,4
ragioni,3,7
intorno,3,7
posso,3,5
prezzo,3,6
palo,2,4
monsignore,2,10
essendo,2,7
prender,2,7
momenti,2,7
proposta,2,8
opportunità,2,11
operai,2,6
mio,2,3
porte,2,5
perdonato,2,9
essa,2,4
padrone,2,7
mano,2,4
punto,2,5
pur,2,3
qua,2,3
morire,2,6
facesse,2,7
morte,2,5
morti,2,5
facile,2,6
morto,2,5
montagne,2,8
posson,2,6
poter,2,5
dovrebbe,2,8
minuti,2,6
sicuramente,2,11
siam,2,4
mia,2,3
pensò,2,5
nell,2,4
mezzi,2,5
promessi,2,8
dubbi,2,5
orecchi,2,7
ore,2,3
prese,2,5
memorie,2,7
erano,2,5
erede,2,5
presto,2,6
preso,2,5
potesse,2,7
peso,2,4
dovessero,2,9
dovesse,2,7
sentito,2,7
palazzo,2,7
riprese,2,7
quali,2,5
senta,2,5
inteso,2,6
reale,2,5
parlava,2,7
ospite,2,6
ragione,2,7
fuor,2,4
parlato,2,7
lacrime,2,7
lamenti,2,7
raccontare,2,10
lascio,2,6
lassù,2,5
sagrestano,2,10
salire,2,6
saluti,2,6
pochi,2,5
industria,2,9
riesce,2,6
rispettoso,2,10
guastava,2,8
guarire,2,7
guardate,2,8
parlò,2,5
ignorante,2,9
illustrissimo,2,13
immaginare,2,10
importa,2,7
gliene,2,6
ritira,2,6
nuova,2,5
impicciato,2,10
impiccio,2,8
giusto,2,6
occasione,2,9
passar,2,6
lazzeretto,2,10
gusto,2,5
scuse,2,5
fatti,2,5
fate,2,4
potete,2,6
fastidio,2,8
passo,2,5
seguente,2,8
fiducia,2,7
fargli,2,6
semplice,2,8
patria,2,6
patti,2,5
peccato,2,7
fanno,2,5
luogo,2,5
luoghi,2,6
nozze,2,5
padre,2,5
parlar,2,6
lettore,2,7
potrà,2,5
fondo,2,5
ognuno,2,6
sarei,2,5
parevan,2,7
piazza,2,6
oh,2,2
quattro,2,7
nostra,2,6
dolore,2,6
scherzare,2,9
passate,2,7
nascere,2,7
entrare,2,7
circostanze,2,11
tornando,2,8
umile,2,5
cagione,2,7
aspettata,2,9
aspettativa,2,11
concluse,2,8
dall,2,4
